"","race","age","prior_offense","is_recid"
"710","African-American",24,1,1
"2051","African-American",30,1,0
"458","Caucasian",24,1,1
"416","Caucasian",56,1,0
"3660","African-American",51,1,0
"4036","Caucasian",21,1,1
"1732","Caucasian",29,0,1
"1771","Caucasian",34,1,1
"266","Caucasian",49,0,0
"4764","Caucasian",65,0,0
"3299","Caucasian",76,1,0
"2599","African-American",31,1,1
"945","African-American",33,1,0
"3185","African-American",21,1,1
"4357","African-American",67,0,0
"642","African-American",39,0,0
"2786","African-American",57,1,0
"1510","Caucasian",26,1,1
"60","African-American",33,0,0
"79","African-American",20,1,1
"788","African-American",24,1,1
"2795","African-American",33,1,0
"4728","Caucasian",47,1,0
"118","African-American",28,1,1
"4690","African-American",24,1,1
"1367","African-American",51,1,0
"1281","African-American",21,0,1
"923","African-American",52,1,0
"1128","African-American",27,1,1
"3293","African-American",50,1,0
"4252","African-American",30,1,1
"869","Caucasian",22,0,0
"2250","Caucasian",30,1,0
"1262","African-American",61,1,0
"4704","Caucasian",20,1,1
"705","Caucasian",39,1,0
"1109","African-American",31,1,1
"1774","Caucasian",43,1,0
"4893","African-American",60,1,0
"1059","African-American",21,1,1
"939","African-American",21,1,0
"670","African-American",27,0,0
"1312","Caucasian",33,1,1
"3330","Caucasian",49,1,0
"4370","Caucasian",38,1,0
"2884","Caucasian",57,0,0
"3767","African-American",28,1,1
"4531","African-American",56,0,0
"2675","African-American",28,1,0
"837","African-American",43,1,0
"2114","Caucasian",33,1,1
"4466","African-American",28,1,1
"2321","African-American",28,1,1
"2360","Caucasian",25,1,1
"1284","Caucasian",22,0,1
"1590","Caucasian",54,1,0
"2394","Caucasian",29,1,0
"407","African-American",30,1,1
"1106","African-American",23,1,0
"820","African-American",59,1,0
"1018","Caucasian",42,0,0
"1162","Caucasian",24,1,1
"2962","Caucasian",22,1,1
"90","African-American",60,1,1
"1160","Caucasian",33,0,1
"3029","African-American",32,1,1
"2999","Caucasian",29,1,1
"520","Caucasian",51,0,0
"3491","Caucasian",37,1,0
"4051","Caucasian",40,1,1
"2615","African-American",31,1,1
"2754","Caucasian",46,0,0
"3414","African-American",27,1,0
"1673","Caucasian",20,0,1
"4427","African-American",32,1,1
"3894","Caucasian",29,1,1
"3255","African-American",20,0,1
"3592","African-American",30,1,0
"1191","African-American",28,1,0
"857","African-American",46,1,0
"2696","Caucasian",47,0,0
"4243","Caucasian",24,1,1
"2115","African-American",23,1,1
"260","African-American",30,1,0
"4777","African-American",28,1,0
"3242","Caucasian",30,1,1
"3564","African-American",26,0,1
"2131","African-American",22,1,1
"159","African-American",24,1,1
"2528","Caucasian",21,0,1
"2598","African-American",54,0,0
"4634","African-American",49,0,0
"4845","African-American",24,1,1
"170","African-American",38,1,0
"1496","Caucasian",41,1,0
"3467","Caucasian",36,1,0
"2867","African-American",24,1,1
"2867.1","African-American",24,1,1
"2134","African-American",51,1,0
"1398","Caucasian",27,0,1
"589","African-American",25,1,1
"1226","Caucasian",34,0,0
"1242","African-American",21,1,1
"1620","Caucasian",21,1,1
"3775","African-American",51,0,0
"2315","African-American",44,0,0
"2229","Caucasian",51,1,0
"2254","Caucasian",46,0,0
"66","African-American",25,0,1
"1691","African-American",30,1,1
"2693","African-American",25,1,1
"1584","Caucasian",30,1,1
"360","Caucasian",29,1,1
"722","African-American",59,1,0
"1408","African-American",26,1,1
"3092","Caucasian",24,1,0
"1055","Caucasian",41,1,0
"430","African-American",19,0,1
"216","African-American",61,1,0
"3418","Caucasian",46,0,0
"4732","African-American",23,1,1
"4818","Caucasian",59,0,0
"4922","African-American",45,1,0
"594","African-American",24,0,0
"1454","Caucasian",65,1,0
"2832","Caucasian",24,1,1
"3041","Caucasian",54,0,0
"2455","Caucasian",42,1,0
"1398.1","Caucasian",27,0,1
"4874","African-American",39,0,0
"3760","Caucasian",29,1,0
"2140","Caucasian",22,1,1
"1918","Caucasian",50,1,0
"395","Caucasian",48,0,0
"3570","African-American",32,1,1
"3769","Caucasian",49,0,0
"1125","African-American",32,1,1
"4706","Caucasian",23,1,1
"4345","African-American",26,0,0
"3692","Caucasian",21,0,1
"2327","Caucasian",63,1,0
"568","Caucasian",51,1,0
"3173","Caucasian",72,1,0
"661","African-American",21,1,1
"1729","African-American",33,1,1
"1027","African-American",33,0,0
"2404","African-American",23,1,1
"1907","Caucasian",34,1,1
"2499","African-American",20,1,1
"4269","African-American",24,1,1
"1167","African-American",33,1,0
"1001","Caucasian",33,0,0
"4190","African-American",46,1,0
"2456","African-American",33,1,0
"895","Caucasian",46,1,0
"1863","Caucasian",24,0,1
"3750","African-American",28,1,1
"3902","Caucasian",26,1,1
"4605","Caucasian",23,1,1
"459","African-American",33,1,1
"3508","African-American",28,1,0
"3950","Caucasian",24,1,1
"1458","Caucasian",51,1,0
"2302","African-American",26,1,1
"994","Caucasian",26,0,0
"1774.1","Caucasian",43,1,0
"75","Caucasian",24,1,1
"4203","African-American",43,1,0
"2275","Caucasian",23,1,1
"4920","Caucasian",24,1,1
"2982","Caucasian",25,1,1
"1437","African-American",22,1,1
"3937","Caucasian",26,0,1
"3019","Caucasian",37,1,1
"1217","Caucasian",51,0,0
"1382","Caucasian",23,1,1
"4104","African-American",34,1,0
"1533","African-American",32,1,1
"2731","African-American",24,1,0
"3470","Caucasian",29,1,1
"3320","Caucasian",43,1,0
"1161","Caucasian",57,1,0
"1381","Caucasian",26,0,0
"4573","Caucasian",34,1,1
