"","race","age","prior_offense","is_recid"
"2112","Caucasian",22,0,1
"3830","African-American",33,1,0
"2135","African-American",30,1,1
"1141","Caucasian",32,1,1
"4409","Caucasian",22,0,1
"929","African-American",27,1,1
"1214","African-American",23,1,0
"91","African-American",32,0,0
"3560","Caucasian",64,0,0
"4162","African-American",24,0,1
"2735","African-American",25,1,1
"4421","Caucasian",20,1,1
"571","Caucasian",22,1,1
"4425","African-American",25,1,1
"3516","Caucasian",22,1,1
"4221","African-American",31,1,1
"3872","Caucasian",49,1,0
"1783","Caucasian",24,1,0
"4487","African-American",27,1,0
"1491","African-American",22,1,1
"1273","African-American",23,1,1
"3623","African-American",23,1,1
"1383","Caucasian",29,0,1
"137","African-American",31,1,1
"2482","African-American",46,1,0
"4788","African-American",27,1,1
"85","African-American",55,1,0
"4210","Caucasian",53,1,0
"4985","Caucasian",54,0,0
"3935","African-American",45,1,0
"4386","Caucasian",45,0,0
"4306","Caucasian",24,1,1
"3648","African-American",24,0,1
"3560.1","Caucasian",64,0,0
"4052","Caucasian",62,1,0
"76","African-American",28,1,0
"1089","Caucasian",22,0,1
"978","African-American",33,1,0
"3445","Caucasian",48,1,0
"1087","African-American",41,0,0
"3569","African-American",35,1,0
"4651","African-American",51,1,0
"264","African-American",20,1,1
"3987","Caucasian",30,0,0
"2863","African-American",35,0,0
"697","Caucasian",27,1,0
"1559","African-American",24,0,0
"3676","Caucasian",45,1,0
"1289","Caucasian",38,0,0
"4639","Caucasian",38,1,1
"4301","Caucasian",30,0,1
"2909","Caucasian",30,1,1
"1800","Caucasian",54,0,0
"4014","African-American",20,0,1
"4815","African-American",33,0,0
"1494","African-American",39,1,1
"4441","Caucasian",25,1,1
"209","Caucasian",53,0,0
"3823","Caucasian",27,1,1
"2382","Caucasian",26,1,1
"872","African-American",24,0,1
"4018","African-American",27,1,1
"3585","African-American",23,1,0
"2978","Caucasian",29,1,0
"378","African-American",26,0,0
"3687","Caucasian",21,1,1
"110","African-American",28,1,0
"4474","Caucasian",28,1,1
"3215","Caucasian",55,1,0
"2804","African-American",25,1,1
"3230","Caucasian",30,1,0
"1245","Caucasian",25,1,1
"2070","African-American",20,1,0
"363","African-American",34,1,0
"1856","African-American",27,1,0
"1384","African-American",31,1,1
"2374","Caucasian",24,1,1
"925","African-American",47,1,0
"908","Caucasian",43,0,0
"922","Caucasian",59,0,0
"1488","Caucasian",45,1,0
"3404","Caucasian",42,0,0
"3190","Caucasian",26,1,1
"861","Caucasian",32,1,0
"3834","African-American",24,1,1
"2794","Caucasian",20,1,1
"4350","African-American",44,1,0
"494","African-American",21,1,1
"561","African-American",33,1,0
"3471","African-American",31,1,1
"4318","African-American",30,0,1
"2677","Caucasian",36,0,0
"4666","Caucasian",20,1,1
"1876","African-American",60,1,0
"2061","Caucasian",28,0,1
"3929","Caucasian",45,1,0
"470","African-American",24,1,0
"2496","African-American",21,1,1
"1545","Caucasian",28,1,1
"4496","African-American",51,1,0
"3649","Caucasian",32,1,0
"1586","Caucasian",32,1,1
"1229","Caucasian",22,1,1
"776","Caucasian",21,0,1
"2842","Caucasian",25,0,1
"3001","Caucasian",41,0,1
"3006","African-American",30,1,0
"4467","African-American",51,1,0
"2089","African-American",26,1,0
"1507","African-American",24,1,1
"832","Caucasian",42,1,0
"4551","African-American",40,1,1
"1478","African-American",48,1,0
"1527","African-American",20,0,1
"3668","Caucasian",34,1,1
"4284","Caucasian",21,0,1
"792","Caucasian",29,1,1
"368","Caucasian",33,1,1
"4461","African-American",23,1,1
"2639","African-American",22,0,1
"2889","African-American",34,1,0
"302","African-American",31,1,0
"253","Caucasian",57,1,0
"1883","Caucasian",41,0,0
"1987","Caucasian",29,0,0
"2449","Caucasian",29,1,1
"1541","African-American",31,1,1
"2427","African-American",20,0,1
"3916","Caucasian",24,0,1
"4771","African-American",20,0,0
"1168","African-American",27,1,1
"2045","African-American",53,1,0
"1920","African-American",35,1,0
"3212","Caucasian",28,1,1
"1531","Caucasian",19,0,1
"4422","African-American",36,0,0
"3255","African-American",20,0,1
"4033","African-American",25,1,0
"3689","Caucasian",21,1,1
"3835","Caucasian",26,1,1
"2018","Caucasian",31,0,1
"3019","Caucasian",37,1,1
"2833","Caucasian",57,1,0
"1277","Caucasian",32,1,1
"2252","African-American",28,1,1
"398","Caucasian",31,1,1
"1584","Caucasian",30,1,1
"2849","African-American",33,0,0
"182","African-American",27,1,1
"4390","Caucasian",26,1,0
"2639.1","African-American",22,0,1
"4095","African-American",31,1,1
"2421","Caucasian",30,1,1
"1466","Caucasian",23,1,1
"1784","Caucasian",24,1,1
"3353","Caucasian",31,1,1
"2192","African-American",36,1,0
"220","African-American",20,1,1
"4971","Caucasian",39,1,0
"4974","Caucasian",31,0,1
"630","African-American",40,1,0
"3788","African-American",31,1,1
"4180","African-American",55,1,0
"550","Caucasian",48,0,0
"280","Caucasian",21,0,0
"1463","African-American",22,0,1
"1090","Caucasian",27,1,0
"4638","African-American",20,1,1
"2491","African-American",33,0,0
"539","Caucasian",51,0,0
"2706","African-American",33,0,0
"2767","African-American",41,0,0
"4719","African-American",50,0,0
"1723","Caucasian",44,1,0
"4818","Caucasian",59,0,0
"1700","African-American",40,1,0
"998","Caucasian",39,1,0
"3351","African-American",29,1,1
"1417","African-American",24,1,0
"3573","African-American",59,1,0
"3798","Caucasian",22,0,1
"1273.1","African-American",23,1,1
"91.1","African-American",32,0,0
"4334","African-American",24,1,1
"4311","Caucasian",29,1,1
"2087","Caucasian",23,0,1
"2612","African-American",56,1,0
"2477","Caucasian",57,1,0
"1223","Caucasian",34,0,0
"2025","African-American",24,1,1
"4905","Caucasian",34,1,0
"4059","Caucasian",64,1,0
"1195","Caucasian",21,0,1
"4826","African-American",49,1,0
"2472","Caucasian",31,0,0
"2246","Caucasian",22,0,1
"4367","Caucasian",23,1,1
"350","Caucasian",27,1,0
"1386","African-American",21,1,1
"3402","Caucasian",54,1,0
"1199","African-American",35,1,0
"1198","African-American",35,0,0
"4639.1","Caucasian",38,1,1
"511","Caucasian",29,1,1
"199","African-American",21,0,0
"859","African-American",36,0,0
"894","African-American",23,0,1
"3270","African-American",39,1,0
"4375","Caucasian",42,1,0
"2001","African-American",27,1,1
"4975","Caucasian",25,1,1
"1555","Caucasian",23,1,1
"2746","Caucasian",23,1,0
"2673","Caucasian",37,0,0
"2066","African-American",24,0,1
"1927","African-American",23,1,1
"706","Caucasian",34,1,1
"614","Caucasian",26,0,0
"3013","African-American",48,1,0
"2461","African-American",24,1,0
"4411","African-American",46,1,0
"4346","Caucasian",20,0,1
"2589","African-American",30,1,0
"3808","Caucasian",27,0,0
"297","Caucasian",22,1,1
"3906","Caucasian",22,0,1
"1992","Caucasian",23,1,1
"1384.1","African-American",31,1,1
"3070","African-American",41,1,0
"4963","Caucasian",48,1,0
"2315","African-American",44,0,0
"3105","African-American",30,1,1
"2154","Caucasian",26,1,1
"221","African-American",22,1,1
"1630","African-American",26,1,0
"608","African-American",21,0,1
"1538","African-American",49,0,0
"933","African-American",22,0,1
"4583","African-American",28,1,1
"2600","African-American",36,1,0
"4703","Caucasian",26,1,1
"1011","African-American",21,0,0
"1015","Caucasian",25,0,0
"3709","Caucasian",44,1,0
"912","Caucasian",32,1,0
"2957","Caucasian",24,1,1
"1772","African-American",27,1,0
"611","Caucasian",30,1,1
"2075","Caucasian",25,0,1
"1446","Caucasian",25,1,1
"3371","Caucasian",27,0,1
"2535","African-American",33,1,0
"3414","African-American",27,1,0
"179","African-American",43,1,0
"3406","Caucasian",27,0,1
"1626","Caucasian",59,1,0
"701","Caucasian",30,1,0
"2883","Caucasian",26,0,1
"468","Caucasian",44,1,0
"3029","African-American",32,1,1
"3151","Caucasian",33,1,1
"237","African-American",21,0,1
"268","Caucasian",31,1,1
"4736","Caucasian",25,1,0
"2686","African-American",42,1,0
"1942","Caucasian",31,0,1
"3522","African-American",34,0,0
"1435","Caucasian",36,0,0
"4740","Caucasian",35,1,0
"4221.1","African-American",31,1,1
"124","African-American",33,1,1
"3271","Caucasian",27,0,1
"1325","Caucasian",36,1,1
"1455","Caucasian",22,1,1
"1460","African-American",39,1,1
"1201","African-American",21,0,0
"3090","African-American",20,0,1
"2747","Caucasian",58,1,0
"128","Caucasian",43,0,0
"4481","Caucasian",27,1,1
"3111","African-American",45,1,0
"2026","African-American",24,1,1
"2232","Caucasian",62,0,0
"1232","Caucasian",29,1,0
"3770","African-American",38,0,1
"2253","African-American",43,1,0
"2006","Caucasian",30,1,1
"4322","African-American",33,1,0
"54","African-American",24,1,1
"392","Caucasian",26,0,1
"3880","African-American",28,1,0
"1011.1","African-American",21,0,0
"1526","Caucasian",53,0,0
"4054","African-American",20,0,1
"2580","Caucasian",21,1,1
"4142","African-American",33,0,0
"4247","Caucasian",27,1,1
"882","Caucasian",35,1,0
"3707","Caucasian",25,0,1
"2246.1","Caucasian",22,0,1
"4497","Caucasian",20,1,1
"3223","Caucasian",29,0,1
"3752","Caucasian",60,1,0
"1252","Caucasian",25,0,1
"1489","African-American",23,1,1
"1525","Caucasian",25,1,0
"2754","Caucasian",46,0,0
"3553","African-American",19,0,1
"3051","African-American",23,1,1
"3914","Caucasian",22,1,1
"4278","African-American",31,0,1
"940","Caucasian",22,0,1
"894.1","African-American",23,0,1
"4040","Caucasian",30,1,1
"2324","African-American",25,1,1
"3588","Caucasian",24,1,1
"1481","Caucasian",49,1,1
"62","African-American",34,1,0
"4992","Caucasian",43,1,0
"4378","African-American",29,1,0
"3694","Caucasian",36,1,1
"3820","Caucasian",36,1,1
"1600","African-American",27,1,1
"264.1","African-American",20,1,1
"4451","Caucasian",29,1,1
"2418","Caucasian",39,1,0
"4836","Caucasian",25,1,1
"1889","Caucasian",39,1,0
"2361","Caucasian",37,1,1
"3719","African-American",24,1,1
"502","African-American",27,1,0
"66","African-American",25,0,1
"308","African-American",47,1,0
"831","African-American",30,1,0
"29","African-American",26,1,1
"379","Caucasian",66,1,0
"2137","African-American",28,1,0
"3828","Caucasian",33,0,0
"3149","Caucasian",26,0,1
"1473","African-American",50,1,0
"4189","African-American",27,1,1
"1475","Caucasian",31,1,0
"1874","African-American",24,1,1
"3441","African-American",49,1,0
"3915","African-American",21,1,1
"1647","Caucasian",49,0,0
"2797","African-American",41,1,0
"287","African-American",38,0,0
"2329","Caucasian",41,0,0
"4213","Caucasian",27,1,1
"2435","Caucasian",29,1,0
"2541","African-American",41,1,0
"685","African-American",27,0,0
"1189","African-American",37,1,0
"1774","Caucasian",43,1,0
"4675","Caucasian",38,1,1
"2041","African-American",27,0,1
"4738","African-American",28,1,1
"3469","African-American",34,1,0
"2184","Caucasian",24,0,1
"1522","Caucasian",25,1,1
"3396","African-American",29,1,1
"1866","African-American",38,1,0
"3179","Caucasian",35,1,0
"2850","African-American",30,1,0
"1023","Caucasian",29,1,0
"251","Caucasian",26,0,1
"1001","Caucasian",33,0,0
"121","Caucasian",36,1,1
"3765","Caucasian",20,1,0
"2905","African-American",20,0,1
"3673","Caucasian",22,0,0
"362","Caucasian",29,1,1
"1075","African-American",50,1,0
"43","Caucasian",23,0,1
"26","Caucasian",29,0,0
"1067","African-American",22,1,1
"4924","African-American",27,0,0
"878","African-American",32,1,1
"393","African-American",39,0,0
"4529","Caucasian",29,1,1
"4427","African-American",32,1,1
"4483","African-American",53,1,0
"2601","Caucasian",29,1,0
"3797","Caucasian",51,1,0
"1285","Caucasian",22,1,1
"52","Caucasian",25,1,1
"1815","African-American",26,1,1
"4599","Caucasian",52,0,0
"1959","Caucasian",47,0,0
"4233","Caucasian",28,1,1
"831.1","African-American",30,1,0
"1914","African-American",34,0,0
"934","Caucasian",30,0,0
"2054","African-American",51,1,0
"4131","Caucasian",21,1,1
"4896","African-American",25,1,1
"785","Caucasian",29,0,0
"4598","African-American",61,1,0
"518","African-American",30,1,0
"4332","African-American",36,1,0
"2378","African-American",24,0,1
"2929","African-American",26,1,1
"3645","Caucasian",26,0,1
"3125","Caucasian",28,1,0
"2800","Caucasian",31,0,1
"3795","Caucasian",36,1,0
"830","African-American",54,1,0
"4819","African-American",30,1,0
"1725","Caucasian",26,1,1
"3412","Caucasian",26,1,1
"573","Caucasian",44,0,0
"408","Caucasian",29,1,1
"4431","African-American",26,0,1
"3869","Caucasian",24,1,1
"4457","Caucasian",37,0,0
"822","African-American",24,0,1
"725","African-American",27,1,0
"2189","African-American",27,1,0
"262","African-American",23,1,1
"273","African-American",66,1,0
"2363","African-American",33,0,0
"3221","African-American",36,1,1
"1695","African-American",41,1,0
"584","Caucasian",37,1,1
"3649.1","Caucasian",32,1,0
"4769","African-American",26,0,0
"1158","Caucasian",22,1,1
"1584.1","Caucasian",30,1,1
"728","African-American",33,0,0
"4066","African-American",55,1,0
"3212.1","Caucasian",28,1,1
"1177","African-American",23,1,1
"3573.1","African-American",59,1,0
"4558","Caucasian",25,0,1
"4284.1","Caucasian",21,0,1
"1687","Caucasian",34,1,0
"1724","Caucasian",34,1,0
"288","Caucasian",26,1,1
"3537","Caucasian",42,1,0
"4895","African-American",30,1,1
"2933","African-American",22,1,1
"4703.1","Caucasian",26,1,1
"4647","African-American",30,1,0
"3883","African-American",25,0,1
"797","African-American",20,1,1
"3868","African-American",29,0,0
"1921","Caucasian",22,1,1
"2287","African-American",24,1,1
"1690","African-American",23,0,0
"3","African-American",26,1,1
"4443","Caucasian",41,0,1
"3810","Caucasian",20,1,1
"341","Caucasian",22,0,1
"568","Caucasian",51,1,0
"4734","Caucasian",62,0,0
"3954","Caucasian",31,1,1
"64","Caucasian",37,0,0
"2957.1","Caucasian",24,1,1
"2942","African-American",25,1,1
"3626","Caucasian",31,1,0
"2121","African-American",29,1,0
"7","Caucasian",39,1,0
"2427.1","African-American",20,0,1
"443","Caucasian",31,0,0
"1850","Caucasian",27,0,0
"395","Caucasian",48,0,0
"640","African-American",34,1,1
"4177","African-American",31,1,1
"585","African-American",46,1,0
"3571","Caucasian",21,0,1
"4450","Caucasian",26,1,1
"3573.2","African-American",59,1,0
"2448","African-American",27,1,0
"1125","African-American",32,1,1
"2243","Caucasian",38,1,0
"2928","Caucasian",52,1,0
"276","African-American",46,1,0
"4061","Caucasian",43,1,0
"4614","Caucasian",21,1,1
"2151","African-American",28,1,0
"4547","Caucasian",51,0,0
"1353","African-American",24,1,1
"2669","Caucasian",20,0,1
"2411","Caucasian",32,1,1
"2675","African-American",28,1,0
"4424","African-American",36,1,0
"2870","Caucasian",25,1,1
"3597","Caucasian",20,0,1
"2791","Caucasian",29,0,1
"2670","Caucasian",24,1,1
"4510","Caucasian",20,0,1
"3868.1","African-American",29,0,0
"3009","African-American",51,0,0
"1900","Caucasian",35,1,1
"464","Caucasian",29,0,1
"2630","Caucasian",48,1,0
"1961","Caucasian",20,0,1
"2800.1","Caucasian",31,0,1
"565","Caucasian",21,1,1
"937","African-American",20,1,1
"1713","African-American",29,0,0
"1619","Caucasian",28,1,0
"1264","Caucasian",43,1,0
"4019","Caucasian",67,1,0
"2035","African-American",21,1,1
"3513","Caucasian",29,0,0
"4692","African-American",21,1,1
"1814","Caucasian",30,0,1
"2874","African-American",28,1,0
"554","African-American",27,1,0
"3241","Caucasian",21,0,1
"2935","Caucasian",26,1,1
"104","African-American",21,1,0
"2670.1","Caucasian",24,1,1
"3373","African-American",37,1,0
"2778","Caucasian",24,0,1
"1200","Caucasian",52,0,0
"2328","Caucasian",38,1,0
"3502","Caucasian",28,0,0
"665","Caucasian",22,0,1
"4947","African-American",20,1,1
"4357","African-American",67,0,0
"2805","African-American",28,1,0
"4728","Caucasian",47,1,0
"3311","African-American",23,1,1
"2951","African-American",22,0,1
"4961","Caucasian",34,0,0
"3503","Caucasian",31,0,0
"919","African-American",22,1,1
"103","African-American",24,1,1
"66.1","African-American",25,0,1
"2008","African-American",34,0,0
"430","African-American",19,0,1
"2311","African-American",30,1,1
"494.1","African-American",21,1,1
"837","African-American",43,1,0
"552","Caucasian",25,0,0
"4956","African-American",26,0,1
"1463.1","African-American",22,0,1
"3488","Caucasian",34,1,1
"4683","Caucasian",32,1,1
"4092","African-American",53,1,0
"2001.1","African-American",27,1,1
"734","African-American",30,1,1
"3219","African-American",39,1,0
"3459","African-American",31,0,0
"3472","African-American",29,1,1
"2852","African-American",28,1,0
"3994","Caucasian",28,1,0
"2326","African-American",32,1,1
"4132","Caucasian",39,1,0
"88","African-American",30,0,0
"1360","African-American",27,1,1
"424","Caucasian",54,0,0
"1264.1","Caucasian",43,1,0
"4541","Caucasian",23,0,1
"1700.1","African-American",40,1,0
"4315","Caucasian",26,1,1
