"","race","age","prior_offense","is_recid"
"4103","African-American",23,0,1
"803","Caucasian",20,1,1
"284","African-American",22,0,1
"78","African-American",43,0,0
"3390","African-American",23,1,0
"4711","Caucasian",49,1,0
"2820","African-American",32,1,0
"1529","Caucasian",74,0,0
"3808","Caucasian",27,0,0
"526","African-American",23,1,0
"2312","African-American",24,1,1
"403","African-American",42,1,1
"4093","African-American",22,0,1
"1172","African-American",32,0,0
"4450","Caucasian",26,1,1
"2332","Caucasian",32,0,0
"3054","Caucasian",45,1,0
"431","African-American",24,1,1
"2713","African-American",23,1,1
"4151","African-American",31,1,1
"1925","African-American",32,1,1
"3752","Caucasian",60,1,0
"1475","Caucasian",31,1,0
"3089","Caucasian",27,1,0
"135","African-American",25,1,1
"2335","African-American",35,1,0
"2091","Caucasian",29,0,1
"1401","Caucasian",28,1,1
"966","African-American",24,0,1
"4637","Caucasian",28,1,0
"4573","Caucasian",34,1,1
"727","Caucasian",30,1,1
"4688","African-American",34,1,0
"1512","African-American",59,1,0
"3037","African-American",40,0,0
"3441","African-American",49,1,0
"2076","Caucasian",38,1,0
"1537","Caucasian",21,0,1
"4290","African-American",25,1,1
"2995","Caucasian",29,1,0
"4541","Caucasian",23,0,1
"3468","African-American",39,1,0
"2970","Caucasian",29,1,1
"3845","African-American",20,1,1
"1283","African-American",28,1,1
"728","African-American",33,0,0
"4737","Caucasian",33,1,1
"909","African-American",27,1,1
"2516","African-American",32,1,1
"1889","Caucasian",39,1,0
"1806","African-American",59,0,0
"4076","Caucasian",26,0,0
"1948","Caucasian",39,0,0
"2044","African-American",28,1,1
"3076","African-American",29,1,0
"18","Caucasian",29,1,1
"3347","Caucasian",23,0,1
"4853","Caucasian",30,1,1
"3574","African-American",36,1,0
"4072","Caucasian",29,0,0
"2483","African-American",33,1,0
"404","African-American",36,1,1
"4980","African-American",23,0,0
"1154","African-American",45,0,0
"2197","African-American",21,0,1
"4466","African-American",28,1,1
"4389","Caucasian",51,0,0
"3408","Caucasian",29,0,0
"3285","African-American",28,1,1
"2895","Caucasian",30,1,1
"1740","African-American",42,1,0
"438","Caucasian",47,0,0
"3970","African-American",49,1,0
"2881","African-American",22,1,1
"4487","African-American",27,1,0
"761","African-American",21,1,1
"2032","African-American",28,1,1
"3705","African-American",24,0,1
"1626","Caucasian",59,1,0
"3647","African-American",37,1,0
"357","Caucasian",38,1,0
"3982","Caucasian",53,0,0
"829","African-American",21,0,0
"2258","Caucasian",32,0,0
"4004","Caucasian",21,0,1
"902","African-American",28,1,1
"555","African-American",36,0,1
"3637","Caucasian",24,1,1
"4699","African-American",28,1,1
"4957","African-American",32,1,0
"2456","African-American",33,1,0
"4107","Caucasian",21,0,1
"4464","African-American",23,0,1
"3162","African-American",54,1,0
"4463","Caucasian",45,1,1
"4350","African-American",44,1,0
"629","African-American",21,0,1
"4130","African-American",53,0,0
"4229","African-American",21,0,1
"1578","Caucasian",50,1,0
"3403","African-American",39,1,1
"548","Caucasian",36,1,1
"3019","Caucasian",37,1,1
"1090","Caucasian",27,1,0
"3175","Caucasian",52,1,0
"4333","Caucasian",35,0,0
"458","Caucasian",24,1,1
"563","Caucasian",39,1,0
"1702","African-American",23,1,0
"2311","African-American",30,1,1
"2216","African-American",59,1,0
"1478","African-American",48,1,0
"575","African-American",50,1,0
"2124","African-American",21,1,1
"4756","African-American",44,1,0
"3462","Caucasian",28,1,1
"3296","Caucasian",21,0,1
"1382","Caucasian",23,1,1
"1769","Caucasian",31,1,1
"4832","Caucasian",20,0,1
