"","race","age","prior_offense","is_recid"
"718","African-American",22,0,1
"2195","Caucasian",25,1,0
"357","Caucasian",38,1,0
"4542","Caucasian",23,1,1
"4978","African-American",37,1,0
"698","African-American",24,1,1
"1549","Caucasian",64,0,0
"3650","African-American",23,0,1
"3455","African-American",24,0,1
"4749","Caucasian",29,1,1
"4664","African-American",24,1,1
"2863","African-American",35,0,0
"3296","Caucasian",21,0,1
"2195.1","Caucasian",25,1,0
"2197","African-American",21,0,1
"1243","African-American",67,1,0
"337","African-American",23,0,0
"4664.1","African-American",24,1,1
"3584","African-American",26,0,0
"4318","African-American",30,0,1
"2567","Caucasian",42,0,0
"239","Caucasian",43,0,0
"2204","African-American",27,1,0
"3602","African-American",50,1,0
"4961","Caucasian",34,0,0
"2610","Caucasian",24,1,0
"4202","African-American",26,1,0
"913","Caucasian",26,1,0
"1471","African-American",23,1,1
"95","African-American",24,1,0
"3969","Caucasian",21,1,1
"4293","Caucasian",35,1,0
"4077","Caucasian",51,1,0
"477","African-American",33,1,0
"30","Caucasian",28,1,0
"885","African-American",53,0,0
"744","Caucasian",28,0,0
"2479","African-American",33,1,0
"3439","Caucasian",22,0,1
"4871","African-American",28,1,1
"2562","Caucasian",49,1,0
"3203","African-American",50,1,0
"1216","Caucasian",55,1,0
"1520","African-American",27,1,0
"3209","Caucasian",22,1,1
"1797","African-American",26,1,1
"4283","African-American",34,0,0
"1999","African-American",39,1,0
"4065","Caucasian",21,1,1
"833","Caucasian",33,1,0
"4249","African-American",22,1,1
"4175","African-American",25,0,1
"1391","African-American",31,1,0
"3024","Caucasian",39,0,0
"4544","African-American",22,0,1
"1356","African-American",25,1,0
"1930","Caucasian",22,1,1
"4431","African-American",26,0,1
"3617","African-American",27,1,1
"1529","Caucasian",74,0,0
"759","African-American",21,0,1
"2788","African-American",28,1,0
"4967","Caucasian",31,0,1
"4769","African-American",26,0,0
"3513","Caucasian",29,0,0
"1467","Caucasian",68,0,0
"3733","African-American",29,1,1
"1044","African-American",29,1,0
"4010","Caucasian",26,1,1
"1434","Caucasian",46,1,0
"1905","African-American",23,1,0
"4535","African-American",49,1,0
"3424","Caucasian",22,1,1
"313","African-American",24,1,1
"1325","Caucasian",36,1,1
"3254","Caucasian",36,1,0
"1793","Caucasian",41,1,0
"1413","African-American",19,1,1
"3871","African-American",22,1,1
"3560","Caucasian",64,0,0
"4580","African-American",62,0,0
"3459","African-American",31,0,0
"3095","Caucasian",22,1,1
"4591","Caucasian",65,1,0
"4890","African-American",21,1,1
"295","African-American",26,1,0
"293","Caucasian",46,0,0
"1425","African-American",33,1,0
"1678","Caucasian",25,1,1
"3615","African-American",27,1,0
"4128","African-American",30,1,1
"2017","African-American",24,1,0
"2264","African-American",22,1,1
"906","Caucasian",55,1,0
"2462","Caucasian",23,1,1
"1136","African-American",23,1,1
"4665","Caucasian",37,1,0
"4274","Caucasian",23,0,1
"4875","Caucasian",40,1,0
"1925","African-American",32,1,1
"1382","Caucasian",23,1,1
"1406","Caucasian",25,0,0
"397","African-American",29,1,1
"112","African-American",25,1,1
"3117","African-American",23,1,1
"3198","African-American",24,1,1
"243","Caucasian",29,0,0
"898","African-American",29,0,0
"1150","African-American",37,0,0
"795","Caucasian",54,1,0
"3598","Caucasian",26,1,1
"1855","Caucasian",24,1,0
"2063","African-American",30,1,0
"2127","Caucasian",20,1,0
"2106","African-American",22,0,1
"2453","African-American",37,0,0
"3672","African-American",20,0,1
"2253","African-American",43,1,0
"2163","African-American",35,1,0
"927","African-American",43,1,1
"4351","African-American",20,0,1
"648","African-American",30,1,1
"3763","African-American",54,1,0
"2681","Caucasian",24,0,0
"4091","Caucasian",30,0,0
"4365","African-American",29,1,0
"901","Caucasian",22,1,0
"182","African-American",27,1,1
"1666","African-American",46,0,0
"2428","African-American",40,0,0
"2759","African-American",27,1,0
"3833","African-American",59,1,0
"3965","African-American",39,1,0
"4568","African-American",20,0,1
"3871.1","African-American",22,1,1
"2363","African-American",33,0,0
"4939","Caucasian",27,1,1
"1615","African-American",37,1,0
"1161","Caucasian",57,1,0
"4136","African-American",30,1,1
"2471","African-American",22,1,1
"857","African-American",46,1,0
"2146","Caucasian",27,1,0
"1402","Caucasian",25,0,0
"1155","African-American",39,1,1
"1870","Caucasian",69,0,0
"2602","Caucasian",22,1,1
"1154","African-American",45,0,0
"2540","African-American",38,1,0
"2043","Caucasian",28,0,1
"3830","African-American",33,1,0
"135","African-American",25,1,1
"1003","Caucasian",65,1,0
"2902","African-American",25,1,0
"2534","Caucasian",22,1,0
"471","Caucasian",42,0,0
"2654","Caucasian",45,1,0
"3258","African-American",31,1,0
"1992","Caucasian",23,1,1
"2630","Caucasian",48,1,0
"119","African-American",21,1,1
"644","African-American",28,1,1
"401","African-American",23,0,1
"2816","Caucasian",35,0,0
"3960","Caucasian",24,0,1
"3370","Caucasian",40,1,0
"2972","Caucasian",37,1,0
"4387","Caucasian",39,1,0
"2220","Caucasian",54,0,0
"346","Caucasian",20,0,1
"1964","Caucasian",31,1,1
"2720","African-American",28,1,0
"4856","Caucasian",44,1,0
"2600","African-American",36,1,0
"2748","Caucasian",32,1,1
"2350","African-American",51,1,0
"4276","African-American",29,1,0
"773","Caucasian",33,0,0
"450","African-American",21,0,1
"1366","Caucasian",31,0,0
"3033","African-American",29,1,0
"1978","Caucasian",30,0,0
"1998","Caucasian",44,0,0
"4459","Caucasian",30,1,0
"4392","African-American",48,1,0
"87","African-American",31,1,1
"2821","African-American",24,0,0
"3232","Caucasian",46,1,0
"573","Caucasian",44,0,0
"4282","African-American",36,1,1
"1693","Caucasian",34,1,0
"2236","Caucasian",22,1,1
"3927","African-American",26,1,1
"2660","Caucasian",24,0,1
"3936","Caucasian",31,1,1
"1397","Caucasian",33,0,0
"4585","African-American",22,0,1
"3290","African-American",26,0,1
"1957","African-American",22,0,1
"1438","Caucasian",26,0,1
"4185","African-American",29,1,1
"3703","African-American",23,0,1
"3212","Caucasian",28,1,1
"2555","African-American",21,1,1
"4048","Caucasian",37,1,0
"139","African-American",28,1,1
"3012","Caucasian",45,0,0
"204","Caucasian",40,1,1
"4494","African-American",38,1,1
"1243.1","African-American",67,1,0
"2459","African-American",54,1,0
"4220","African-American",30,1,1
