"","race","age","prior_offense","is_recid"
"4629","Caucasian",26,1,1
"3670","Caucasian",24,1,1
"3918","Caucasian",27,1,1
"4747","Caucasian",20,1,1
"4764","Caucasian",65,0,0
"4641","Caucasian",25,0,1
"1434","Caucasian",46,1,0
"4351","African-American",20,0,1
"2673","Caucasian",37,0,0
"1062","Caucasian",30,0,0
"554","African-American",27,1,0
"997","Caucasian",23,0,1
"3497","African-American",21,0,1
"1986","Caucasian",28,1,1
"2579","Caucasian",23,0,1
"3982","Caucasian",53,0,0
"209","Caucasian",53,0,0
"3789","African-American",26,0,1
"3250","African-American",24,1,1
"2080","African-American",50,0,0
"3314","African-American",31,1,0
"2492","Caucasian",33,1,1
"1097","African-American",20,0,1
"3916","Caucasian",24,0,1
"277","Caucasian",24,1,1
"4608","African-American",53,1,0
"153","Caucasian",37,0,0
"1140","African-American",31,1,0
"1524","Caucasian",39,0,0
"441","Caucasian",61,0,0
"344","African-American",41,0,0
"3439","Caucasian",22,0,1
"4907","Caucasian",21,0,1
"2124","African-American",21,1,1
"3267","Caucasian",22,1,1
"2932","African-American",44,0,0
"4686","Caucasian",26,1,1
"4112","Caucasian",22,1,1
"3408","Caucasian",29,0,0
"3828","Caucasian",33,0,0
"3338","African-American",23,0,1
"37","African-American",26,1,1
"2144","African-American",22,1,1
"1823","Caucasian",51,0,0
"1647","Caucasian",49,0,0
"3239","African-American",25,0,1
"1766","Caucasian",55,0,0
"4620","African-American",21,0,1
"3652","Caucasian",29,1,1
"1226","Caucasian",34,0,0
"1086","African-American",45,1,1
"4581","African-American",25,1,1
"3216","Caucasian",28,1,1
"3509","Caucasian",21,1,1
"2821","African-American",24,0,0
"793","Caucasian",24,1,1
"2668","African-American",22,1,1
"2081","Caucasian",47,0,0
"675","Caucasian",49,1,0
"139","African-American",28,1,1
"14","African-American",58,1,0
"3049","African-American",29,1,0
"2360","Caucasian",25,1,1
"925","African-American",47,1,0
"3335","African-American",60,1,0
"1079","Caucasian",26,0,0
"2315","African-American",44,0,0
"2071","African-American",38,1,0
"4601","Caucasian",30,0,1
"3421","African-American",38,1,0
"2490","African-American",31,1,0
"88","African-American",30,0,0
"4417","Caucasian",24,0,1
"1124","Caucasian",21,0,1
"4892","African-American",21,0,1
"3705","African-American",24,0,1
"1188","Caucasian",23,1,1
