"","race","age","prior_offense","is_recid"
"2913","African-American",27,1,1
"4873","Caucasian",31,1,1
"2949","Caucasian",21,0,0
"4639","Caucasian",38,1,1
"860","African-American",36,1,0
"3272","African-American",44,1,0
"3925","African-American",26,1,1
"1480","Caucasian",29,1,1
"1707","Caucasian",33,1,0
"3335","African-American",60,1,0
"2507","African-American",23,0,1
"2479","African-American",33,1,0
"984","African-American",20,0,0
"889","Caucasian",24,0,1
"3751","Caucasian",45,0,0
"962","Caucasian",42,0,0
"1460","African-American",39,1,1
"3856","Caucasian",33,1,1
"3848","African-American",37,1,0
"2326","African-American",32,1,1
"497","Caucasian",53,1,0
"2141","African-American",24,1,0
"206","Caucasian",41,1,0
"2146","Caucasian",27,1,0
"4209","African-American",22,1,1
"3423","African-American",21,0,1
"2533","Caucasian",27,0,0
"2953","Caucasian",27,0,1
"4011","African-American",25,1,1
"12","African-American",48,0,0
"3106","Caucasian",30,1,1
"893","Caucasian",24,1,0
"3330","Caucasian",49,1,0
"4968","African-American",26,0,1
"1960","Caucasian",36,1,0
"890","Caucasian",30,1,1
"3172","Caucasian",40,0,1
"4861","African-American",50,0,0
"3712","Caucasian",22,0,0
"4521","African-American",21,0,1
"2943","Caucasian",24,1,0
"2069","Caucasian",46,0,0
"1049","Caucasian",28,1,1
"1528","Caucasian",32,0,0
"2534","Caucasian",22,1,0
"2822","Caucasian",23,0,1
"2422","African-American",21,0,1
"3297","Caucasian",28,0,0
"3385","African-American",26,1,0
"3765","Caucasian",20,1,0
"2879","African-American",23,0,0
"4614","Caucasian",21,1,1
"4104","African-American",34,1,0
"2342","Caucasian",28,1,1
"4292","Caucasian",45,0,0
"486","African-American",47,0,0
"1909","Caucasian",38,1,0
"2015","African-American",20,0,1
"2512","Caucasian",47,0,0
"3863","Caucasian",31,0,0
"2350","African-American",51,1,0
"2884","Caucasian",57,0,0
"4764","Caucasian",65,0,0
"3103","Caucasian",23,1,1
"53","Caucasian",42,0,0
"2410","Caucasian",42,1,0
"504","African-American",24,1,1
"3172.1","Caucasian",40,0,1
"1729","African-American",33,1,1
"1546","African-American",37,0,0
"1141","Caucasian",32,1,1
"2258","Caucasian",32,0,0
"4449","African-American",27,1,0
"4414","African-American",35,1,0
"241","Caucasian",53,1,0
"2203","Caucasian",38,1,0
"799","Caucasian",37,0,0
"1176","African-American",23,0,1
"2159","African-American",34,1,0
"2164","Caucasian",70,1,0
"1104","African-American",60,1,0
"1951","Caucasian",24,1,1
"676","African-American",25,0,1
"2376","African-American",29,1,0
"3985","African-American",29,1,1
"2308","African-American",22,0,1
"4932","Caucasian",28,1,1
"4019","Caucasian",67,1,0
"1264","Caucasian",43,1,0
"4571","Caucasian",44,0,0
"720","African-American",24,1,1
"58","Caucasian",35,1,0
"1775","African-American",28,1,1
"2481","African-American",34,1,1
"1363","Caucasian",23,1,1
"4010","Caucasian",26,1,1
"4360","Caucasian",46,0,0
"2108","African-American",23,1,1
"1997","African-American",23,0,0
"4529","Caucasian",29,1,1
"1452","Caucasian",21,0,1
"1259","Caucasian",54,1,0
"670","African-American",27,0,0
"1889","Caucasian",39,1,0
"3958","Caucasian",24,1,1
"654","African-American",27,1,1
"3017","African-American",23,0,1
"2266","Caucasian",25,1,1
"2868","African-American",33,0,1
"3320","Caucasian",43,1,0
"4985","Caucasian",54,0,0
"2772","African-American",25,1,1
"909","African-American",27,1,1
"1861","African-American",30,0,0
"20","Caucasian",38,1,0
"133","Caucasian",34,0,0
"918","Caucasian",56,1,0
"2775","African-American",20,0,1
"1575","Caucasian",37,1,0
"2636","Caucasian",26,1,1
"2829","African-American",24,1,1
"1144","African-American",34,1,1
"2237","African-American",27,1,0
"2292","African-American",63,1,0
"3024","Caucasian",39,0,0
"3598","Caucasian",26,1,1
"1473","African-American",50,1,0
"326","Caucasian",21,0,1
"1676","Caucasian",46,1,0
"4836","Caucasian",25,1,1
"1052","Caucasian",24,1,1
"2461","African-American",24,1,0
"4899","Caucasian",71,1,0
"3848.1","African-American",37,1,0
"1094","Caucasian",39,0,0
"4269","African-American",24,1,1
"853","African-American",26,1,1
"4957","African-American",32,1,0
"880","African-American",25,0,0
