"","race","age","prior_offense","is_recid"
"2005","Caucasian",43,1,0
"298","African-American",24,1,0
"1414","Caucasian",19,1,1
"2708","Caucasian",55,1,0
"4368","Caucasian",37,1,1
"4561","Caucasian",46,1,1
"4372","African-American",37,1,0
"3579","Caucasian",52,1,0
"2268","African-American",55,1,0
"3045","African-American",27,0,1
"2440","Caucasian",22,1,0
"3063","African-American",23,0,1
"875","African-American",27,0,1
"254","African-American",20,1,0
"3612","Caucasian",35,0,0
"3817","African-American",23,1,0
"2916","Caucasian",24,1,1
"4610","African-American",48,0,0
"2282","African-American",31,1,1
"309","Caucasian",34,0,0
"3600","African-American",36,1,0
"4447","African-American",58,0,0
"2347","Caucasian",39,0,0
"642","African-American",39,0,0
"2865","Caucasian",23,1,1
"4525","Caucasian",22,1,1
"1112","Caucasian",54,0,0
"4269","African-American",24,1,1
"4067","African-American",28,1,1
"498","African-American",43,1,0
"4549","Caucasian",25,1,1
"920","African-American",23,0,1
"699","African-American",27,1,0
"864","African-American",23,1,1
"158","Caucasian",30,0,1
"4258","Caucasian",49,0,0
"1245","Caucasian",25,1,1
"4692","African-American",21,1,1
"1720","African-American",28,1,1
"3213","African-American",26,1,0
"431","African-American",24,1,1
"2420","Caucasian",32,0,0
"4050","African-American",21,0,1
"1470","African-American",27,0,0
"4801","African-American",22,0,1
"3423","African-American",21,0,1
"1864","Caucasian",54,1,0
"927","African-American",43,1,1
"739","African-American",27,1,1
"3651","Caucasian",46,1,1
"4460","African-American",26,1,0
"2346","Caucasian",56,1,0
"1166","African-American",46,0,0
"4606","Caucasian",25,1,0
"326","Caucasian",21,0,1
"2909","Caucasian",30,1,1
"1551","African-American",20,1,1
"3558","African-American",25,1,1
"3298","African-American",33,1,0
"2218","African-American",29,1,1
"3243","Caucasian",26,0,1
"3240","African-American",29,1,1
"4320","African-American",31,1,1
"255","Caucasian",54,0,0
"2582","Caucasian",57,1,0
"2119","African-American",39,1,0
"3127","African-American",21,0,1
"2859","Caucasian",27,1,1
"633","African-American",20,0,0
"545","African-American",25,1,1
"67","Caucasian",22,1,0
"2432","African-American",26,0,0
"2146","Caucasian",27,1,0
"2768","Caucasian",37,1,0
"1858","Caucasian",32,0,1
"1104","African-American",60,1,0
"238","African-American",42,1,0
"4238","Caucasian",47,1,0
"3268","African-American",50,1,0
"2010","Caucasian",37,1,0
"2720","African-American",28,1,0
"2213","African-American",31,1,1
"2361","Caucasian",37,1,1
"3000","Caucasian",26,1,1
"2859.1","Caucasian",27,1,1
"4712","African-American",31,1,0
"3266","African-American",28,1,1
"2026","African-American",24,1,1
"2325","African-American",35,1,0
"1719","Caucasian",24,0,1
"2390","African-American",27,1,0
"4055","Caucasian",21,1,1
"3660","African-American",51,1,0
"281","African-American",30,1,0
"800","Caucasian",59,0,0
"4294","African-American",37,0,0
"3515","African-American",20,1,1
