"","race","age","prior_offense","is_recid"
"3645","Caucasian",26,0,1
"911","Caucasian",28,1,1
"498","African-American",43,1,0
"1804","Caucasian",25,0,1
"3430","African-American",31,0,0
"4799","Caucasian",68,1,0
"2752","African-American",32,1,0
"4657","African-American",24,1,1
"1946","Caucasian",41,1,0
"896","African-American",27,1,1
"2349","African-American",23,1,1
"3569","African-American",35,1,0
"3200","Caucasian",42,1,0
"1345","African-American",34,1,0
"679","Caucasian",21,1,1
"4141","Caucasian",22,0,1
"2674","Caucasian",52,1,0
"1045","African-American",24,1,1
"136","African-American",31,0,0
"1916","Caucasian",44,1,0
"4073","Caucasian",28,0,0
"62","African-American",34,1,0
"2494","Caucasian",26,1,1
"105","African-American",22,1,1
"1211","Caucasian",21,1,1
"3511","Caucasian",52,1,0
"3301","Caucasian",20,0,1
"3984","African-American",22,1,1
"4912","African-American",27,1,1
"91","African-American",32,0,0
"4081","Caucasian",46,0,0
"4476","African-American",24,1,1
"1289","Caucasian",38,0,0
"630","African-American",40,1,0
"197","African-American",42,1,0
"3844","Caucasian",52,0,0
"1733","African-American",28,1,0
"635","Caucasian",22,0,1
"2710","Caucasian",25,1,1
"1922","African-American",41,1,0
"2543","African-American",21,1,0
"172","African-American",31,1,0
"373","African-American",23,0,1
"1969","African-American",28,0,0
"529","Caucasian",44,0,0
"3891","African-American",31,1,0
"3276","Caucasian",45,1,0
"3424","Caucasian",22,1,1
"2875","African-American",19,1,1
"2119","African-American",39,1,0
"1769","Caucasian",31,1,1
"285","Caucasian",52,0,0
"350","Caucasian",27,1,0
"1204","Caucasian",31,1,1
"1899","Caucasian",32,0,1
"292","Caucasian",47,1,0
"3768","African-American",22,1,1
"2304","African-American",22,1,1
"3811","Caucasian",45,0,0
"4708","African-American",26,1,1
"1802","African-American",24,1,1
"1479","Caucasian",45,1,0
"1811","African-American",22,0,1
"679.1","Caucasian",21,1,1
"116","Caucasian",22,1,1
"3139","Caucasian",22,1,1
"2520","Caucasian",55,0,0
"4526","African-American",27,1,1
"4337","Caucasian",58,1,0
"534","Caucasian",33,1,0
"1383","Caucasian",29,0,1
"732","Caucasian",22,0,1
"1515","African-American",35,0,1
"3688","African-American",30,0,0
"3736","African-American",42,1,0
"4120","African-American",21,1,0
"4596","African-American",46,1,0
"4357","African-American",67,0,0
"2897","Caucasian",25,1,1
"4191","Caucasian",44,0,0
"231","African-American",55,0,0
"2972","Caucasian",37,1,0
"3812","Caucasian",26,0,1
"2363","African-American",33,0,0
"651","African-American",52,1,0
"513","Caucasian",49,1,0
"4029","African-American",37,1,1
"4030","Caucasian",22,1,1
"1533","African-American",32,1,1
"1103","Caucasian",33,1,0
"1069","African-American",21,0,1
"351","Caucasian",49,1,0
"1416","African-American",35,0,0
"4223","Caucasian",51,1,0
"4862","African-American",49,1,0
"210","African-American",27,1,0
"2494.1","Caucasian",26,1,1
"3094","Caucasian",29,0,1
"1985","African-American",21,1,1
"3788","African-American",31,1,1
"3862","Caucasian",21,0,1
"4557","African-American",24,1,1
"4068","African-American",37,1,0
"325","African-American",31,1,1
"3213","African-American",26,1,0
"1372","African-American",25,1,1
"4017","African-American",36,1,1
"3311","African-American",23,1,1
"1109","African-American",31,1,1
"1122","African-American",27,1,1
"2504","Caucasian",35,0,0
"3489","African-American",39,1,1
"3083","African-American",25,1,1
"1980","African-American",54,1,0
"654","African-American",27,1,1
"624","African-American",36,1,0
"3691","African-American",33,1,0
"4822","African-American",20,0,1
"2545","Caucasian",32,1,0
"4094","African-American",20,0,1
"3951","Caucasian",43,1,0
"4990","Caucasian",51,1,0
"1183","African-American",21,0,0
"467","Caucasian",50,1,0
"2603","African-American",23,1,1
"3206","Caucasian",41,1,0
"4865","African-American",25,1,1
"2512","Caucasian",47,0,0
"2082","African-American",35,1,1
"2429","African-American",22,1,1
"363","African-American",34,1,0
"4191.1","Caucasian",44,0,0
"614","Caucasian",26,0,0
"2793","Caucasian",53,1,0
"3696","Caucasian",42,0,0
"309","Caucasian",34,0,0
"4952","Caucasian",30,1,1
"3604","Caucasian",33,1,1
"4640","African-American",30,1,1
"1148","African-American",22,0,1
"127","African-American",25,1,0
"622","Caucasian",41,0,0
"4815","African-American",33,0,0
"4139","Caucasian",26,0,0
"12","African-American",48,0,0
"4981","African-American",25,1,1
"1090","Caucasian",27,1,0
"1160","Caucasian",33,0,1
"3487","African-American",30,1,1
"2650","African-American",27,1,1
"498.1","African-American",43,1,0
"2837","Caucasian",25,1,1
"4691","Caucasian",22,1,1
"2552","African-American",29,0,1
"4009","Caucasian",21,1,1
"3450","Caucasian",27,0,1
"1191","African-American",28,1,0
"3457","Caucasian",21,1,1
"353","Caucasian",39,1,0
"4338","Caucasian",23,0,0
"4809","African-American",40,0,0
"3596","African-American",33,1,1
"2085","Caucasian",24,0,1
"4532","African-American",40,1,0
"463","Caucasian",26,0,1
"320","Caucasian",56,1,0
"3674","Caucasian",21,1,1
"873","African-American",29,1,1
"4970","African-American",31,1,1
"1957","African-American",22,0,1
"1012","Caucasian",37,1,0
"3771","African-American",27,1,0
"684","Caucasian",28,1,1
"3407","Caucasian",31,1,1
"3862.1","Caucasian",21,0,1
"4461","African-American",23,1,1
"2381","African-American",28,1,1
"1728","African-American",24,1,1
"4320","African-American",31,1,1
"4857","Caucasian",21,0,1
"4403","Caucasian",21,1,1
"3158","African-American",25,0,0
"3486","African-American",22,0,1
"3804","Caucasian",44,1,0
"670","African-American",27,0,0
"2596","Caucasian",43,0,0
"307","Caucasian",58,1,0
"4593","African-American",20,1,1
"3380","African-American",23,1,1
"263","Caucasian",28,0,0
"3802","Caucasian",50,1,0
"4236","Caucasian",41,1,0
"1293","Caucasian",43,0,0
"208","African-American",43,1,0
"3040","African-American",45,1,1
"4316","Caucasian",21,1,1
"1338","Caucasian",26,0,1
"4089","Caucasian",25,0,1
"2595","African-American",23,0,1
"4546","Caucasian",41,1,0
"633","African-American",20,0,0
"4633","Caucasian",30,1,0
"4912.1","African-American",27,1,1
"3136","African-American",35,1,0
"2521","Caucasian",23,0,1
"3280","Caucasian",57,0,0
"4895","African-American",30,1,1
"3029","African-American",32,1,1
"2230","Caucasian",26,0,1
"4416","Caucasian",36,1,0
"4901","African-American",20,0,1
"2588","African-American",20,1,1
"4806","Caucasian",25,0,1
"3284","Caucasian",23,1,1
"3013","African-American",48,1,0
"3941","Caucasian",44,0,0
"442","Caucasian",22,1,1
"3743","African-American",39,1,0
"2561","African-American",70,0,0
"3625","African-American",23,1,1
"1667","Caucasian",27,0,1
"672","African-American",31,1,1
"4125","Caucasian",23,1,1
"4551","African-American",40,1,1
"4611","Caucasian",33,1,0
"2224","African-American",22,1,0
"3264","Caucasian",31,1,0
"2429.1","African-American",22,1,1
"1381","Caucasian",26,0,0
"2700","African-American",23,0,1
"3856","Caucasian",33,1,1
"76","African-American",28,1,0
"1669","African-American",31,1,0
"4588","African-American",24,1,0
"1509","Caucasian",24,0,1
"2799","Caucasian",21,0,1
"3635","African-American",38,0,0
"3649","Caucasian",32,1,0
"2254","Caucasian",46,0,0
"1294","Caucasian",24,1,1
"4797","African-American",27,1,1
"1216","Caucasian",55,1,0
"3339","African-American",29,0,0
"1320","Caucasian",43,1,0
"1635","Caucasian",30,1,0
"1106","African-American",23,1,0
"267","African-American",23,1,1
"4197","Caucasian",39,1,0
"3300","Caucasian",70,0,0
"3471","African-American",31,1,1
"3315","African-American",25,1,1
"3497","African-American",21,0,1
"523","Caucasian",52,0,0
"4294","African-American",37,0,0
"3616","African-American",37,1,0
"2382","Caucasian",26,1,1
"1469","Caucasian",43,0,0
"1023","Caucasian",29,1,0
"3945","Caucasian",28,0,0
"3006","African-American",30,1,0
"570","Caucasian",55,1,0
"3015","Caucasian",56,1,0
"2285","Caucasian",24,0,0
"4785","African-American",21,0,1
"4265","Caucasian",24,1,1
"2455","Caucasian",42,1,0
"1122.1","African-American",27,1,1
"3902","Caucasian",26,1,1
"4510","Caucasian",20,0,1
"2353","Caucasian",31,1,0
"3921","African-American",30,1,0
"1776","Caucasian",46,1,0
"2692","African-American",23,1,0
"2066","African-American",24,0,1
"2807","Caucasian",38,1,0
"3794","African-American",32,1,0
"1637","Caucasian",44,1,0
"2627","African-American",43,0,0
"112","African-American",25,1,1
"4571","Caucasian",44,0,0
"272","African-American",23,1,0
"4872","African-American",29,1,1
"1912","African-American",27,1,0
"2705","African-American",44,0,0
"1909","Caucasian",38,1,0
"4951","African-American",64,1,0
"2010","Caucasian",37,1,0
"1963","Caucasian",52,1,0
"2606","Caucasian",57,1,0
"4971","Caucasian",39,1,0
"3768.1","African-American",22,1,1
"3463","Caucasian",26,0,1
"4090","Caucasian",21,0,1
"3051","African-American",23,1,1
"3081","African-American",22,1,1
"2505","African-American",29,1,1
"730","Caucasian",33,1,1
"2943","Caucasian",24,1,0
"3942","Caucasian",47,1,0
"1742","Caucasian",52,1,0
"114","Caucasian",27,0,0
"235","Caucasian",39,0,0
"3822","Caucasian",37,1,1
"1373","African-American",27,1,1
"3315.1","African-American",25,1,1
"3313","African-American",46,1,0
"4551.1","African-American",40,1,1
"1037","African-American",25,1,1
"2886","African-American",35,1,0
"953","African-American",23,1,1
"2463","Caucasian",50,0,0
"404","African-American",36,1,1
"4248","Caucasian",33,0,0
"4455","Caucasian",25,0,1
"1542","Caucasian",35,1,1
"3731","African-American",28,1,0
"2702","Caucasian",21,0,1
"3084","Caucasian",36,0,0
"2363.1","African-American",33,0,0
"2527","Caucasian",25,0,1
"2153","African-American",28,0,1
"1479.1","Caucasian",45,1,0
"3249","Caucasian",26,1,1
"2927","African-American",41,1,1
"1116","Caucasian",36,1,0
"3268","African-American",50,1,0
"2645","African-American",24,1,1
"1790","African-American",20,0,1
"1990","Caucasian",22,1,1
"1673","Caucasian",20,0,1
"362","Caucasian",29,1,1
"3501","African-American",48,1,0
"4390","Caucasian",26,1,0
"3267","Caucasian",22,1,1
"2181","Caucasian",28,1,1
"4886","Caucasian",40,0,0
"359","African-American",20,1,1
"435","Caucasian",31,0,1
"4489","Caucasian",52,1,0
"895","Caucasian",46,1,0
"4221","African-American",31,1,1
"4727","Caucasian",22,0,1
"1925","African-American",32,1,1
"3737","Caucasian",29,0,0
"4491","Caucasian",26,1,1
"3787","African-American",23,1,0
"2537","African-American",21,1,1
"2633","African-American",60,0,0
"3912","African-American",19,0,1
"2455.1","Caucasian",42,1,0
"1416.1","African-American",35,0,0
"2195","Caucasian",25,1,0
"2589","African-American",30,1,0
"1412","Caucasian",22,1,1
"4567","Caucasian",53,1,0
"1338.1","Caucasian",26,0,1
"4243","Caucasian",24,1,1
"3385","African-American",26,1,0
"3920","Caucasian",32,1,1
"4316.1","Caucasian",21,1,1
"1140","African-American",31,1,0
"2642","African-American",32,1,1
"2961","Caucasian",43,1,0
"625","African-American",19,0,1
"2200","Caucasian",43,0,0
"2763","African-American",34,1,1
"3940","African-American",33,0,1
"1784","Caucasian",24,1,1
"3680","Caucasian",26,1,1
"4246","African-American",28,1,1
"3243","Caucasian",26,0,1
"4634","African-American",49,0,0
"1084","African-American",27,1,0
"4246.1","African-American",28,1,1
"2285.1","Caucasian",24,0,0
"951","Caucasian",34,1,0
"835","African-American",36,1,0
"2262","African-American",24,0,1
"4968","African-American",26,0,1
"1450","Caucasian",30,0,1
"4592","Caucasian",23,1,1
"15","African-American",23,1,1
"1462","African-American",34,1,0
"4296","Caucasian",32,1,0
"786","Caucasian",33,1,1
"4822.1","African-American",20,0,1
"2573","African-American",39,1,0
"3299","Caucasian",76,1,0
"462","African-American",20,0,1
"4477","African-American",24,1,0
"1600","African-American",27,1,1
"4557.1","African-American",24,1,1
"852","Caucasian",52,1,0
"4666","Caucasian",20,1,1
"4105","African-American",26,1,1
"3615","African-American",27,1,0
"2988","Caucasian",22,0,1
"1043","African-American",24,1,1
"327","Caucasian",29,1,1
"1343","Caucasian",60,1,0
"308","African-American",47,1,0
"1424","African-American",22,1,1
"1698","Caucasian",49,1,0
"468","Caucasian",44,1,0
"404.1","African-American",36,1,1
"4237","Caucasian",40,1,0
"2877","Caucasian",26,1,1
"606","Caucasian",35,1,0
"2794","Caucasian",20,1,1
"3527","African-American",31,0,0
"1244","Caucasian",42,0,0
"2734","Caucasian",22,1,1
"1646","Caucasian",20,1,1
"3369","Caucasian",20,0,1
"69","Caucasian",26,1,1
"2841","Caucasian",53,1,0
"3978","African-American",42,1,0
"4370","Caucasian",38,1,0
"2477","Caucasian",57,1,0
"4250","Caucasian",28,1,0
"2007","Caucasian",25,0,1
"3925","African-American",26,1,1
"2179","African-American",26,1,0
"130","Caucasian",23,0,1
"1673.1","Caucasian",20,0,1
"568","Caucasian",51,1,0
"3370","Caucasian",40,1,0
"4558","Caucasian",25,0,1
"4125.1","Caucasian",23,1,1
"1333","Caucasian",28,1,1
"4155","African-American",29,0,0
"857","African-American",46,1,0
"2355","African-American",36,1,0
"4674","Caucasian",57,0,0
"4470","African-American",26,1,1
"1303","African-American",27,0,1
"1074","Caucasian",52,0,0
"4466","African-American",28,1,1
"3873","African-American",44,1,0
"2469","Caucasian",40,0,0
"1001","Caucasian",33,0,0
"2615","African-American",31,1,1
"1229","Caucasian",22,1,1
"4616","Caucasian",34,1,0
"3627","African-American",43,1,0
"2309","Caucasian",36,1,0
"3634","African-American",46,1,0
"3429","African-American",41,1,0
"972","African-American",21,0,0
"1264","Caucasian",43,1,0
"3886","African-American",31,0,0
"1288","Caucasian",65,0,0
"4253","Caucasian",20,0,1
"2206","Caucasian",24,0,1
"1227","Caucasian",36,1,0
"2021","African-American",29,0,0
"3603","African-American",56,1,0
"412","Caucasian",33,1,1
"2844","African-American",34,1,0
"1218","Caucasian",49,1,0
"2187","Caucasian",27,0,1
"3443","Caucasian",27,1,1
"3732","Caucasian",28,1,0
"4288","Caucasian",30,0,1
"3052","Caucasian",20,1,1
"187","African-American",27,1,1
"1763","African-American",38,1,0
"1577","African-American",44,1,0
"1599","Caucasian",26,0,1
"2608","Caucasian",44,1,0
"3136.1","African-American",35,1,0
"3306","Caucasian",28,0,0
"4728","Caucasian",47,1,0
"2389","African-American",25,0,1
"2963","African-American",25,1,1
"260","African-American",30,1,0
"3367","Caucasian",19,0,1
"3703","African-American",23,0,1
"1730","Caucasian",28,1,1
"561","African-American",33,1,0
"3006.1","African-American",30,1,0
"1084.1","African-American",27,1,0
"4206","Caucasian",28,1,1
"490","African-American",29,1,1
"2165","African-American",20,0,1
"4968.1","African-American",26,0,1
"4409","Caucasian",22,0,1
"3531","Caucasian",23,1,1
"2953","Caucasian",27,0,1
"131","Caucasian",45,1,0
"1418","Caucasian",21,0,1
"1778","Caucasian",27,1,1
"3506","African-American",53,1,0
"1520","African-American",27,1,0
"2134","African-American",51,1,0
"1497","African-American",25,1,1
"1125","African-American",32,1,1
"2423","Caucasian",20,0,1
"2165.1","African-American",20,0,1
"3946","Caucasian",31,1,1
"2138","African-American",48,1,0
"1325","Caucasian",36,1,1
"451","Caucasian",51,0,0
"389","Caucasian",40,0,0
"4112","Caucasian",22,1,1
"1632","Caucasian",55,0,0
"2304.1","African-American",22,1,1
"189","African-American",33,1,1
"1594","African-American",43,1,0
"132","African-American",27,0,1
"1268","Caucasian",47,1,0
"1034","Caucasian",33,1,0
"3057","Caucasian",49,1,0
"4581","African-American",25,1,1
"3102","Caucasian",27,0,1
"2190","Caucasian",20,0,1
"214","African-American",38,1,0
"3366","Caucasian",28,0,1
"1370","Caucasian",40,1,1
"2534","Caucasian",22,1,0
"4465","Caucasian",35,1,0
"1573","African-American",29,1,0
"246","African-American",32,1,0
"1448","Caucasian",57,0,0
"251","Caucasian",26,0,1
"3156","African-American",31,1,0
"4649","African-American",50,1,0
"1501","Caucasian",20,1,1
"1806","African-American",59,0,0
"1803","African-American",20,1,1
"1597","Caucasian",19,0,1
"1903","Caucasian",55,0,0
"243","Caucasian",29,0,0
"389.1","Caucasian",40,0,0
"28","African-American",33,1,0
"4234","African-American",24,1,1
"3906","Caucasian",22,0,1
"1376","African-American",25,1,1
"427","African-American",43,1,0
"4231","Caucasian",47,1,0
"332","African-American",21,1,1
"2455.2","Caucasian",42,1,0
"3337","Caucasian",29,0,0
"2553","Caucasian",34,1,0
"45","African-American",30,1,1
"4","Caucasian",41,1,0
"2659","African-American",21,0,0
"564","Caucasian",19,1,1
"2872","African-American",32,1,1
"3451","Caucasian",25,1,1
"1423","Caucasian",35,0,0
"1838","African-American",22,1,1
"1326","African-American",25,1,0
"4596.1","African-American",46,1,0
"1384","African-American",31,1,1
"1590","Caucasian",54,1,0
"3258","African-American",31,1,0
"157","Caucasian",40,1,0
"186","Caucasian",58,0,0
"2333","African-American",23,1,1
"2852","African-American",28,1,0
"4400","African-American",46,0,0
"3656","African-American",23,1,0
"1424.1","African-American",22,1,1
"3929","Caucasian",45,1,0
"2525","African-American",49,1,0
"805","Caucasian",49,0,0
"4856","Caucasian",44,1,0
"51","African-American",34,1,0
"1868","African-American",50,1,0
"991","Caucasian",24,0,1
"2848","Caucasian",26,1,1
"1406","Caucasian",25,0,0
"584","Caucasian",37,1,1
"1840","Caucasian",38,1,0
"1385","African-American",23,0,0
"454","African-American",53,1,0
"2888","Caucasian",25,0,1
"4892","African-American",21,0,1
"4636","African-American",19,1,1
"2136","Caucasian",28,0,0
"1733.1","African-American",28,1,0
"4675","Caucasian",38,1,1
"4565","Caucasian",21,0,1
"4893","African-American",60,1,0
"1818","African-American",47,1,0
"4403.1","Caucasian",21,1,1
"987","African-American",24,1,1
"538","African-American",22,1,1
"4166","Caucasian",53,0,0
"1747","African-American",26,0,0
"1343.1","Caucasian",60,1,0
"4531","African-American",56,0,0
"335","Caucasian",46,0,0
"4835","African-American",33,0,0
"2918","Caucasian",22,0,1
"4948","African-American",39,0,0
"3440","African-American",23,1,1
"1908","Caucasian",29,1,0
"1669.1","African-American",31,1,0
"4913","Caucasian",23,1,1
"4946","African-American",30,1,0
"4677","Caucasian",22,1,1
"1433","Caucasian",27,1,1
"2110","African-American",28,1,1
"3267.1","Caucasian",22,1,1
"953.1","African-American",23,1,1
"3930","African-American",39,1,0
"3887","African-American",43,0,0
"1362","African-American",28,1,0
"2174","African-American",41,1,0
"576","African-American",26,0,1
"4006","Caucasian",31,0,1
"1931","African-American",30,1,1
"3150","Caucasian",26,1,1
"4208","Caucasian",25,0,1
"3333","African-American",33,0,1
"3145","African-American",45,0,0
"4307","African-American",35,1,0
"3015.1","Caucasian",56,1,0
"3377","Caucasian",29,1,1
"2816","Caucasian",35,0,0
"2539","Caucasian",25,0,0
"2872.1","African-American",32,1,1
"3559","Caucasian",32,1,0
"4302","Caucasian",40,1,1
"4232","African-American",44,1,0
"2505.1","African-American",29,1,1
"1648","Caucasian",27,1,1
"928","African-American",34,0,0
"2408","African-American",22,1,1
"2598","African-American",54,0,0
"1902","African-American",77,0,0
"897","African-American",27,1,0
"666","Caucasian",27,0,0
"1968","Caucasian",43,0,0
"329","African-American",26,1,1
"3301.1","Caucasian",20,0,1
"327.1","Caucasian",29,1,1
"3498","Caucasian",37,1,0
"4367","Caucasian",23,1,1
"3607","Caucasian",49,1,0
"469","African-American",55,1,0
"236","African-American",26,0,1
"3445","Caucasian",48,1,0
"2275","Caucasian",23,1,1
"2199","Caucasian",23,1,1
"4113","African-American",27,0,0
"2543.1","African-American",21,1,0
"3289","Caucasian",20,0,1
"3619","African-American",44,0,0
"720","African-American",24,1,1
"3484","African-American",31,1,0
"3038","Caucasian",27,1,1
"2883","Caucasian",26,0,1
"2923","Caucasian",49,1,0
"1369","African-American",25,1,1
"1720","African-American",28,1,1
"4086","Caucasian",22,1,1
"4850","Caucasian",30,1,0
"345","African-American",27,0,0
"3742","Caucasian",27,1,1
"4736","Caucasian",25,1,0
"1003","Caucasian",65,1,0
"660","African-American",35,1,0
"4575","African-American",20,1,1
"345.1","African-American",27,0,0
"3732.1","Caucasian",28,1,0
"3443.1","Caucasian",27,1,1
"4963","Caucasian",48,1,0
"2432","African-American",26,0,0
"3023","Caucasian",24,1,1
"3690","Caucasian",29,1,0
"3212","Caucasian",28,1,1
"3187","African-American",30,0,1
"3080","African-American",32,1,0
"692","African-American",49,1,0
"3664","Caucasian",28,0,1
"1806.1","African-American",59,0,0
"2273","Caucasian",28,0,1
"4000","Caucasian",24,0,1
"4656","African-American",41,1,0
"3451.1","Caucasian",25,1,1
"14","African-American",58,1,0
"257","African-American",24,1,1
"2550","African-American",47,0,0
"4598","African-American",61,1,0
"2762","Caucasian",54,1,0
"2013","Caucasian",46,1,0
"1576","African-American",27,1,1
"1673.2","Caucasian",20,0,1
"1565","Caucasian",27,0,1
"3262","Caucasian",49,1,0
"1474","Caucasian",56,1,0
"4039","African-American",48,0,0
"1321","African-American",32,1,0
"2121","African-American",29,1,0
"1541","African-American",31,1,1
"3549","Caucasian",31,0,0
"819","Caucasian",45,0,0
"852.1","Caucasian",52,1,0
"4909","African-American",30,1,0
"1979","African-American",48,1,0
"2976","Caucasian",36,1,1
"4118","Caucasian",33,1,0
"2313","Caucasian",26,1,1
"4573","Caucasian",34,1,1
"3767","African-American",28,1,1
"2539.1","Caucasian",25,0,0
"3372","Caucasian",36,1,0
"3685","Caucasian",25,1,0
"17","African-American",21,1,1
"24","Caucasian",26,0,1
"4449","African-American",27,1,0
"1121","African-American",25,1,1
"4566","African-American",24,1,1
"1742.1","Caucasian",52,1,0
"4565.1","Caucasian",21,0,1
"3113","African-American",28,1,0
"4341","Caucasian",25,0,1
"1991","African-American",22,1,1
"2910","African-American",25,1,1
"1905","African-American",23,1,0
"502","African-American",27,1,0
"694","African-American",45,1,0
"15.1","African-American",23,1,1
"1702","African-American",23,1,0
"1805","Caucasian",29,1,1
"2576","African-American",20,0,1
"2719","Caucasian",26,0,1
"4339","Caucasian",20,1,1
"1080","African-American",31,1,0
"2164","Caucasian",70,1,0
"1597.1","Caucasian",19,0,1
"3811.1","Caucasian",45,0,0
"238","African-American",42,1,0
"3174","Caucasian",46,0,0
"4395","Caucasian",30,1,0
"154","African-American",61,1,0
"3998","Caucasian",31,1,1
"1462.1","African-American",34,1,0
"2914","Caucasian",27,0,1
"3492","Caucasian",32,0,0
"617","African-American",27,0,0
"3142","Caucasian",22,0,1
"3480","African-American",24,0,0
"313","African-American",24,1,1
"2246","Caucasian",22,0,1
"4174","African-American",39,1,0
"4243.1","Caucasian",24,1,1
"3833","African-American",59,1,0
"1634","African-American",25,0,0
"2710.1","Caucasian",25,1,1
"1567","African-American",27,1,1
"2181.1","Caucasian",28,1,1
"2081","Caucasian",47,0,0
"2777","Caucasian",21,0,1
"2952","Caucasian",22,0,1
"2208","Caucasian",23,0,0
"1364","Caucasian",38,0,0
"2053","African-American",27,1,0
"1727","African-American",34,1,0
"4552","Caucasian",24,1,0
"689","Caucasian",26,1,1
"2476","African-American",23,0,1
"4209","African-American",22,1,1
"500","Caucasian",20,1,1
"4423","African-American",24,1,1
"2716","African-American",21,0,1
"1634.1","African-American",25,0,0
"326","Caucasian",21,0,1
"2957","Caucasian",24,1,1
"4161","Caucasian",57,1,0
"134","African-American",44,0,0
"3498.1","Caucasian",37,1,0
"1196","African-American",54,1,0
"192","African-American",29,0,0
"2075","Caucasian",25,0,1
"1843","Caucasian",28,1,0
"2837.1","Caucasian",25,1,1
"3722","Caucasian",26,0,1
"4338.1","Caucasian",23,0,0
"1468","African-American",21,1,0
"1479.2","Caucasian",45,1,0
"2225","Caucasian",22,1,1
"4735","African-American",45,1,0
"2805","African-American",28,1,0
"3656.1","African-American",23,1,0
"2423.1","Caucasian",20,0,1
"3493","Caucasian",45,1,0
"1824","Caucasian",50,0,0
"4220","African-American",30,1,1
"4462","African-American",31,0,0
"3162","African-American",54,1,0
"3876","African-American",27,1,0
"3711","African-American",26,1,1
"4820","Caucasian",29,1,0
"3845","African-American",20,1,1
"4255","African-American",22,1,1
"2574","African-American",36,1,1
"3713","Caucasian",39,1,0
"1368","Caucasian",49,0,0
"3900","African-American",29,1,0
"503","African-American",32,1,0
"2613","African-American",31,1,0
"4830","Caucasian",33,1,1
"2838","African-American",34,1,0
"3661","Caucasian",27,1,0
"3607.1","Caucasian",49,1,0
"3269","Caucasian",31,0,0
"908","Caucasian",43,0,0
"4991","African-American",23,0,1
"4829","Caucasian",21,1,1
"3615.1","African-American",27,1,0
"3086","African-American",41,1,0
"4327","African-American",28,1,1
"3058","Caucasian",37,1,0
"2981","Caucasian",24,0,1
"487","African-American",27,1,0
"36","Caucasian",28,1,1
"2300","Caucasian",24,0,0
"1168","African-American",27,1,1
"1769.1","Caucasian",31,1,1
"4059","Caucasian",64,1,0
"2428","African-American",40,0,0
"2942","African-American",25,1,1
"3669","African-American",37,0,0
"4029.1","African-American",37,1,1
"640","African-American",34,1,1
"2654","Caucasian",45,1,0
"18","Caucasian",29,1,1
"102","African-American",20,1,1
"584.1","Caucasian",37,1,1
"3491","Caucasian",37,1,0
"1308","African-American",28,1,0
"416","Caucasian",56,1,0
"2547","African-American",28,1,1
"2349.1","African-American",23,1,1
"2695","African-American",46,1,0
"1328","African-American",23,1,1
"4861","African-American",50,0,0
"3402","Caucasian",54,1,0
"2988.1","Caucasian",22,0,1
"4897","Caucasian",56,1,0
"1616","African-American",67,0,0
"546","Caucasian",22,1,1
"1756","Caucasian",35,1,0
"4059.1","Caucasian",64,1,0
"4519","Caucasian",28,1,1
"2324","African-American",25,1,1
"1802.1","African-American",24,1,1
"3780","African-American",29,0,0
"2418","Caucasian",39,1,0
"403","African-American",42,1,1
"3442","Caucasian",30,1,1
"265","Caucasian",42,1,0
"2197","African-American",21,0,1
"3666","Caucasian",22,0,1
"3429.1","African-American",41,1,0
"4194","African-American",27,1,1
"1026","Caucasian",26,1,1
"4350","African-American",44,1,0
"2471","African-American",22,1,1
"4897.1","Caucasian",56,1,0
"1507","African-American",24,1,1
"2224.1","African-American",22,1,0
"747","African-American",50,1,0
"4177","African-American",31,1,1
"2807.1","Caucasian",38,1,0
"938","African-American",21,1,0
"4421","Caucasian",20,1,1
"3841","African-American",27,1,1
"4959","Caucasian",30,1,1
"4772","African-American",30,1,1
"4051","Caucasian",40,1,1
"1560","Caucasian",56,1,0
"4158","Caucasian",30,1,1
"1073","Caucasian",23,0,0
"3387","Caucasian",30,0,0
"1248","Caucasian",32,1,0
"3425","African-American",35,0,0
"3207","Caucasian",27,1,0
"496","African-American",34,1,1
"2045","African-American",53,1,0
"1588","Caucasian",64,0,0
"1383.1","Caucasian",29,0,1
"1344","Caucasian",66,1,0
"3941.1","Caucasian",44,0,0
"2120","Caucasian",51,1,0
"1192","African-American",29,1,0
"244","African-American",42,1,0
"1963.1","Caucasian",52,1,0
"998","Caucasian",39,1,0
"4693","Caucasian",22,0,1
"277","Caucasian",24,1,1
"1889","Caucasian",39,1,0
"3360","African-American",31,1,1
