"","race","age","prior_offense","is_recid"
"3300","Caucasian",70,0,0
"145","African-American",41,0,0
"4150","Caucasian",21,1,0
"4985","Caucasian",54,0,0
"2287","African-American",24,1,1
"1523","Caucasian",48,1,0
"273","African-American",66,1,0
"2490","African-American",31,1,0
"3395","African-American",29,1,0
"2979","Caucasian",30,1,0
"875","African-American",27,0,1
"190","Caucasian",26,1,1
"1942","Caucasian",31,0,1
"1158","Caucasian",22,1,1
"3078","Caucasian",29,1,1
"149","Caucasian",27,1,1
"3662","African-American",20,0,1
"3227","Caucasian",36,1,1
"2462","Caucasian",23,1,1
"2043","Caucasian",28,0,1
"3306","Caucasian",28,0,0
"1742","Caucasian",52,1,0
"4472","Caucasian",39,1,0
"1853","Caucasian",43,0,0
"179","African-American",43,1,0
"1763","African-American",38,1,0
"3558","African-American",25,1,1
"3308","African-American",29,1,1
"3518","Caucasian",44,0,0
"3640","Caucasian",22,0,1
"2545","Caucasian",32,1,0
"2727","African-American",28,1,1
"4096","African-American",24,0,1
"1433","Caucasian",27,1,1
"3895","Caucasian",49,1,0
"4123","Caucasian",44,1,0
"1540","Caucasian",77,1,0
"1886","Caucasian",22,1,1
"4388","African-American",43,1,0
"4666","Caucasian",20,1,1
"923","African-American",52,1,0
"1543","Caucasian",26,1,1
"3214","African-American",19,0,0
"885","African-American",53,0,0
"3866","African-American",37,0,1
"4298","Caucasian",24,0,1
"41","African-American",29,1,0
"184","Caucasian",55,1,0
"3185","African-American",21,1,1
"892","Caucasian",22,0,1
"524","Caucasian",35,1,0
"3113","African-American",28,1,0
"4555","African-American",21,1,1
"3651","Caucasian",46,1,1
"4105","African-American",26,1,1
"2027","Caucasian",27,0,1
"2407","African-American",21,0,1
"3583","Caucasian",23,0,0
"1441","African-American",53,1,0
"2451","Caucasian",26,1,1
"565","Caucasian",21,1,1
"1022","African-American",21,1,1
"3830","African-American",33,1,0
"698","African-American",24,1,1
"4115","Caucasian",32,1,1
"3158","African-American",25,0,0
"2199","Caucasian",23,1,1
"1967","Caucasian",32,0,1
"4308","African-American",51,1,0
"3817","African-American",23,1,0
"4204","African-American",21,1,1
"389","Caucasian",40,0,0
"2986","Caucasian",24,0,1
"3865","African-American",35,1,0
"3523","African-American",24,1,1
"4672","Caucasian",26,1,1
"4114","Caucasian",36,1,1
"2690","Caucasian",60,1,0
"456","African-American",27,0,0
"2073","African-American",23,0,1
"1249","African-American",24,1,1
"4453","African-American",26,1,1
"3587","Caucasian",21,0,1
"4979","African-American",28,1,0
