"","race","age","prior_offense","is_recid"
"1108","Caucasian",27,1,0
"4325","Caucasian",45,0,0
"3176","African-American",35,1,0
"1729","African-American",33,1,1
"44","Caucasian",21,0,1
"1224","Caucasian",61,1,0
"839","Caucasian",23,0,1
"550","Caucasian",48,0,0
"4441","Caucasian",25,1,1
"4293","Caucasian",35,1,0
"273","African-American",66,1,0
"4495","African-American",27,1,0
"1876","African-American",60,1,0
"183","Caucasian",53,0,0
"2100","African-American",21,0,0
"2538","African-American",27,1,0
"2666","Caucasian",32,1,1
"3959","Caucasian",24,0,1
"1803","African-American",20,1,1
"4113","African-American",27,0,0
"2069","Caucasian",46,0,0
"1236","African-American",23,1,1
"4877","African-American",31,1,0
"2359","Caucasian",21,1,1
"4111","African-American",31,1,0
"472","African-American",28,1,1
"2965","Caucasian",43,1,0
"1777","African-American",24,1,1
"1867","African-American",38,1,0
"3706","African-American",42,1,1
"1751","Caucasian",59,1,0
"758","African-American",30,1,0
"3113","African-American",28,1,0
"2933","African-American",22,1,1
"2902","African-American",25,1,0
"344","African-American",41,0,0
"3875","African-American",36,1,0
"234","African-American",35,1,0
"1992","Caucasian",23,1,1
"4621","Caucasian",48,1,0
"698","African-American",24,1,1
"3045","African-American",27,0,1
"426","African-American",20,1,1
"4552","Caucasian",24,1,0
"1908","Caucasian",29,1,0
"3601","African-American",25,0,1
"2554","African-American",22,0,1
"479","African-American",52,1,0
"1591","African-American",50,0,0
"1619","Caucasian",28,1,0
"420","African-American",28,1,0
"218","African-American",27,1,0
"1013","African-American",25,0,0
"745","Caucasian",46,1,0
"4510","Caucasian",20,0,1
"2268","African-American",55,1,0
"881","Caucasian",28,1,0
"1746","Caucasian",63,1,0
"1787","Caucasian",29,0,1
"3421","African-American",38,1,0
"3033","African-American",29,1,0
"742","Caucasian",33,1,0
"2929","African-American",26,1,1
"996","Caucasian",61,0,0
"3863","Caucasian",31,0,0
"2789","Caucasian",39,1,0
"2539","Caucasian",25,0,0
"2398","African-American",28,1,1
"2470","African-American",32,1,1
"2324","African-American",25,1,1
"2142","Caucasian",26,1,1
"3791","African-American",60,1,0
"184","Caucasian",55,1,0
"4336","Caucasian",34,1,0
"4377","African-American",20,0,0
"3265","Caucasian",47,0,0
"3666","Caucasian",22,0,1
"3223","Caucasian",29,0,1
"2338","Caucasian",54,0,0
"1471","African-American",23,1,1
"707","Caucasian",27,0,0
"4038","Caucasian",27,1,1
"2100.1","African-American",21,0,0
"4783","African-American",28,1,0
"2079","Caucasian",45,1,0
"4256","African-American",32,1,0
"4473","African-American",29,1,0
"2845","Caucasian",26,1,1
"2451","Caucasian",26,1,1
"1223","Caucasian",34,0,0
"1331","African-American",21,1,1
"135","African-American",25,1,1
"264","African-American",20,1,1
"3298","African-American",33,1,0
"3536","Caucasian",54,0,0
"4651","African-American",51,1,0
"1951","Caucasian",24,1,1
"1846","African-American",23,1,1
"4980","African-American",23,0,0
"2690","Caucasian",60,1,0
"1105","Caucasian",31,1,1
"1630","African-American",26,1,0
"2632","Caucasian",62,1,0
"2445","African-American",54,1,0
"709","African-American",28,1,0
"4198","African-American",33,0,1
"3615","African-American",27,1,0
"4023","African-American",36,1,0
"2715","African-American",41,1,0
"1471.1","African-American",23,1,1
"3925","African-American",26,1,1
"326","Caucasian",21,0,1
"1438","Caucasian",26,0,1
"2916","Caucasian",24,1,1
"1940","African-American",25,1,0
"4435","African-American",37,1,1
"2922","Caucasian",65,1,0
"4830","Caucasian",33,1,1
"2807","Caucasian",38,1,0
"4303","African-American",23,0,1
"4401","African-American",50,0,0
"4577","African-American",28,1,0
"386","Caucasian",19,1,1
"1468","African-American",21,1,0
"3708","Caucasian",70,1,0
"1651","Caucasian",32,1,0
"1405","African-American",24,1,0
"446","African-American",31,1,0
"2075","Caucasian",25,0,1
"3921","African-American",30,1,0
"859","African-American",36,0,0
"1756","Caucasian",35,1,0
"3531","Caucasian",23,1,1
"2287","African-American",24,1,1
"2626","African-American",30,1,0
"1310","Caucasian",21,1,1
"4155","African-American",29,0,0
"4921","African-American",22,1,1
"4997","Caucasian",22,0,1
"3199","African-American",36,1,1
"2973","African-American",22,0,1
"1997","African-American",23,0,0
"4208","Caucasian",25,0,1
"1846.1","African-American",23,1,1
"3959.1","Caucasian",24,0,1
"4068","African-American",37,1,0
"3370","Caucasian",40,1,0
"194","Caucasian",19,1,1
