"","dataset_id","lr_convergence","lr_accuracy","lr_discrimination"
"1",1,1,0.79,0.202
"2",2,1,0.738,0.2402
"3",3,1,0.778,0.273
"4",4,1,0.758,0.3123
"5",5,1,0.788,0.2663
"6",6,1,0.822,0.2171
"7",7,1,0.776,0.3196
"8",8,1,0.752,0.3833
"9",9,1,0.802,0.2878
"10",10,1,0.784,0.1038
"11",11,1,0.792,0.1042
"12",12,1,0.802,0.2507
"13",13,1,0.784,0.2837
"14",14,1,0.79,0.0514
"15",15,1,0.784,0.2963
"16",16,1,0.778,0.131
"17",17,1,0.784,0.245
"18",18,1,0.76,0.1984
"19",19,1,0.798,0.2204
"20",20,1,0.788,0.0727
"21",21,1,0.796,0.2579
"22",22,1,0.756,0.2031
"23",23,1,0.778,0.3711
"24",24,1,0.788,0.3768
"25",25,1,0.746,0.1553
"26",26,1,0.792,0.2064
"27",27,1,0.784,0.2445
"28",28,1,0.75,0.2535
"29",29,1,0.806,0.2928
"30",30,1,0.79,0.228
"31",31,1,0.774,0.2001
"32",32,1,0.766,0.1342
"33",33,1,0.792,0.2358
"34",34,1,0.77,0.4001
"35",35,1,0.8,0.2186
"36",36,1,0.784,0.1497
"37",37,1,0.768,0.3349
"38",38,1,0.782,0.2584
"39",39,1,0.782,0.2456
"40",40,1,0.758,0.2553
"41",41,1,0.792,0.1286
"42",42,1,0.788,0.2602
"43",43,1,0.812,0.3611
"44",44,1,0.806,0.1676
"45",45,1,0.772,0.3282
"46",46,1,0.758,0.292
"47",47,1,0.798,0.1867
"48",48,1,0.798,0.1613
"49",49,1,0.782,0.3282
"50",50,1,0.796,0.3177
"51",51,1,0.776,0.3856
"52",52,1,0.788,0.3006
"53",53,1,0.768,0.3204
"54",54,1,0.79,0.2675
"55",55,1,0.804,0.2448
"56",56,1,0.79,0.304
"57",57,1,0.756,0.3343
"58",58,1,0.766,0.255
"59",59,1,0.774,0.2989
"60",60,1,0.77,0.2782
"61",61,1,0.788,0.3097
"62",62,1,0.778,0.1122
"63",63,1,0.772,0.2256
"64",64,1,0.806,0.1795
"65",65,1,0.802,0.3705
"66",66,1,0.79,0.2855
"67",67,1,0.786,0.2751
"68",68,1,0.81,0.2107
"69",69,1,0.748,0.244
"70",70,1,0.784,0.1935
"71",71,1,0.762,0.2605
"72",72,1,0.8,0.2315
"73",73,1,0.782,0.3337
"74",74,1,0.8,0.3037
"75",75,1,0.782,0.2439
"76",76,1,0.8,0.1663
"77",77,1,0.78,0.3403
"78",78,1,0.79,0.1959
"79",79,1,0.772,0.2596
"80",80,1,0.794,0.2753
"81",81,1,0.77,0.2433
"82",82,1,0.794,0.1136
"83",83,1,0.8,0.1793
"84",84,1,0.77,0.1285
"85",85,1,0.796,0.2909
"86",86,1,0.744,0.3397
"87",87,1,0.79,0.2999
"88",88,1,0.8,0.2744
"89",89,1,0.768,0.2727
"90",90,1,0.762,0.2297
"91",91,1,0.78,0.4359
"92",92,1,0.79,0.1877
"93",93,1,0.762,0.1775
"94",94,1,0.776,0.1447
"95",95,1,0.772,0.2486
"96",96,1,0.744,0.242
"97",97,1,0.806,0.3163
"98",98,1,0.8,0.1294
"99",99,1,0.752,0.2889
"100",100,1,0.804,0.1697
