"","dataset_id","lr_convergence","lr_accuracy","lr_discrimination"
"1",1,1,0.762,0.3153
"2",2,1,0.775,0.266
"3",3,1,0.758,0.291
"4",4,1,0.762,0.2646
"5",5,1,0.782,0.1933
"6",6,1,0.759,0.2053
"7",7,1,0.769,0.3149
"8",8,1,0.767,0.2072
"9",9,1,0.786,0.2284
"10",10,1,0.779,0.2435
"11",11,1,0.759,0.2054
"12",12,1,0.807,0.2191
"13",13,1,0.806,0.2948
"14",14,1,0.793,0.2909
"15",15,1,0.764,0.2488
"16",16,1,0.781,0.2016
"17",17,1,0.797,0.2657
"18",18,1,0.764,0.1718
"19",19,1,0.765,0.2153
"20",20,1,0.787,0.2586
"21",21,1,0.797,0.1678
"22",22,1,0.785,0.2039
"23",23,1,0.78,0.1561
"24",24,1,0.769,0.2645
"25",25,1,0.776,0.2607
"26",26,1,0.792,0.2767
"27",27,1,0.79,0.2437
"28",28,1,0.786,0.1838
"29",29,1,0.786,0.2333
"30",30,1,0.79,0.2348
"31",31,1,0.787,0.2485
"32",32,1,0.79,0.2364
"33",33,1,0.791,0.251
"34",34,1,0.812,0.1579
"35",35,1,0.787,0.1527
"36",36,1,0.776,0.2348
"37",37,1,0.77,0.1981
"38",38,1,0.776,0.3434
"39",39,1,0.786,0.1799
"40",40,1,0.786,0.1906
"41",41,1,0.782,0.1753
"42",42,1,0.753,0.3018
"43",43,1,0.759,0.1884
"44",44,1,0.762,0.2399
"45",45,1,0.75,0.2386
"46",46,1,0.802,0.2285
"47",47,1,0.795,0.3237
"48",48,1,0.761,0.2122
"49",49,1,0.768,0.2732
"50",50,1,0.761,0.2757
"51",51,1,0.754,0.2552
"52",52,1,0.786,0.2214
"53",53,1,0.807,0.1638
"54",54,1,0.787,0.2596
"55",55,1,0.773,0.2068
"56",56,1,0.778,0.2828
"57",57,1,0.792,0.2936
"58",58,1,0.778,0.2982
"59",59,1,0.798,0.1526
"60",60,1,0.799,0.1605
"61",61,1,0.806,0.1609
"62",62,1,0.784,0.1281
"63",63,1,0.77,0.2927
"64",64,1,0.776,0.2252
"65",65,1,0.764,0.1146
"66",66,1,0.802,0.2635
"67",67,1,0.81,0.1212
"68",68,1,0.781,0.2783
"69",69,1,0.773,0.1785
"70",70,1,0.774,0.2841
"71",71,1,0.783,0.2639
"72",72,1,0.767,0.2311
"73",73,1,0.792,0.2227
"74",74,1,0.762,0.2301
"75",75,1,0.773,0.3298
"76",76,1,0.777,0.2104
"77",77,1,0.771,0.2255
"78",78,1,0.778,0.2632
"79",79,1,0.788,0.2159
"80",80,1,0.774,0.1734
"81",81,1,0.783,0.2292
"82",82,1,0.77,0.2973
"83",83,1,0.76,0.2655
"84",84,1,0.782,0.2383
"85",85,1,0.777,0.2493
"86",86,1,0.774,0.2322
"87",87,1,0.807,0.1849
"88",88,1,0.787,0.2333
"89",89,1,0.793,0.2264
"90",90,1,0.78,0.2955
"91",91,1,0.781,0.1284
"92",92,1,0.781,0.2249
"93",93,1,0.791,0.1966
"94",94,1,0.774,0.1981
"95",95,1,0.772,0.2044
"96",96,1,0.772,0.27
"97",97,1,0.787,0.2622
"98",98,1,0.769,0.1709
"99",99,1,0.785,0.2795
"100",100,1,0.777,0.3104
